Protein,Sample,Threshold,PRS.R2,PRS.R2.adj,Full.R2,Null.R2,Prevalence,Coefficient,Standard.Error,P,Num_SNP,Significant,P_MinusLog10
NPPB.3723.1.2,GERAD,0.001,0.00144283,0.00119303,0.0245873,0.0233943,0.07,0.0726295,0.0340621,0.032985,778,Y,1.48168351158353
PLG.3710.49.2,ADNI,0.5,0.00311227,0.00234493,0.0241921,0.0218472,0.07,-0.102234,0.0668793,0.126355,109567,N,0.898407567915454
PLG.3710.49.2,ANM,0.001,0.0074765,0.00594035,0.119773,0.113833,0.07,0.171863,0.0797354,0.0311298,805,Y,1.5068236695255
PLG.3710.49.2,GERAD,5e-08,0.000409709,0.00033873,0.023733,0.0233943,0.07,-0.0389647,0.0343478,0.256619,6,N,0.590711191726968
PPY.4588.1.2,ADNI,5e-08,0.0079889,0.00602718,0.0278743,0.0218472,0.07,-0.165092,0.0676795,0.0147145,1,Y,1.83225449067822
PPY.4588.1.2,ANM,0.1,0.00191701,0.00151981,0.115353,0.113833,0.07,0.0868563,0.0794087,0.274048,37156,N,0.562173363057693
PPY.4588.1.2,GERAD,0.001,0.00110585,0.000914356,0.0243086,0.0233943,0.07,0.0634643,0.0339798,0.0618033,774,N,1.20898833504828
RETN.3046.31.1,ADNI,5e-04,0.0038421,0.00289539,0.0247426,0.0218472,0.07,0.113949,0.0671259,0.0895955,412,N,1.04771380255045
RETN.3046.31.1,ANM,5e-04,0.00945162,0.0075155,0.121348,0.113833,0.07,-0.192986,0.0798081,0.0156005,413,Y,1.80686148217367
RETN.3046.31.1,GERAD,0.001,0.00061606,0.000509346,0.0239036,0.0233943,0.07,-0.0473516,0.0339688,0.163326,770,N,0.786944674064815
SERPING1.4479.14.2,ADNI,5e-04,0.00317557,0.00239267,0.0242398,0.0218472,0.07,0.102363,0.0662919,0.122559,441,N,0.9116547912514
SERPING1.4479.14.2,ANM,5e-08,0.00461618,0.00366359,0.117496,0.113833,0.07,-0.134347,0.0792888,0.0901892,6,N,1.04484546535413
SERPING1.4479.14.2,GERAD,1,0.000631469,0.000522087,0.0239164,0.0233943,0.07,-0.0481195,0.0340943,0.158137,146113,N,0.800966504414223
TF.4162.54.2,ADNI,5e-05,0.00155201,0.00116886,0.023016,0.0218472,0.07,-0.0719532,0.0666279,0.280175,57,N,0.552570619394406
TF.4162.54.2,ANM,5e-05,0.000776878,0.000615633,0.114448,0.113833,0.07,-0.0547298,0.0786148,0.486318,58,N,0.313079655671382
TF.4162.54.2,GERAD,5e-05,0.00046611,0.000385363,0.0237796,0.0233943,0.07,0.0411758,0.0339532,0.225236,57,N,0.647362193963567
TNC.4155.3.2,ADNI,5e-08,0.00321183,0.00242001,0.0242672,0.0218472,0.07,0.105353,0.0680831,0.121762,18,N,0.914488227017078
TNC.4155.3.2,ANM,0.1,0.00878923,0.00698698,0.12082,0.113833,0.07,-0.187685,0.0805071,0.0197383,37153,Y,1.70469025452414
TNC.4155.3.2,GERAD,5e-08,0.000163022,0.000134775,0.023529,0.0233943,0.07,-0.0244458,0.0340341,0.472588,16,N,0.325517310210946
TNF.5936.53.3,ADNI,5e-08,0.00631423,0.00476157,0.0266087,0.0218472,0.07,-0.151513,0.0710094,0.0328671,1,Y,1.48323861382404
TNF.5936.53.3,ANM,0.05,0.00129838,0.00102911,0.114862,0.113833,0.07,0.0709316,0.0788416,0.368294,21172,N,0.433805356323249
TNF.5936.53.3,GERAD,0.2,0.000270127,0.000223325,0.0236176,0.0233943,0.07,-0.0316924,0.0343346,0.355984,60753,N,0.448569521318883
VCAM1.2967.8.1,ADNI,0.1,0.00332288,0.00250376,0.0243509,0.0218472,0.07,0.106872,0.067695,0.114397,36729,N,0.941585364533635
VCAM1.2967.8.1,ANM,1,0.0121641,0.0096827,0.123515,0.113833,0.07,0.2204,0.0804485,0.00615058,149867,Y,2.21108392830223
VCAM1.2967.8.1,GERAD,0.001,0.00070898,0.000586178,0.0239804,0.0233943,0.07,-0.0508514,0.0340106,0.134871,817,N,0.870081422410519
VTN.13125.45.3,ADNI,0.05,0.00207667,0.00156423,0.0234114,0.0218472,0.07,-0.0834181,0.0667913,0.211688,21356,N,0.674303760220993
VTN.13125.45.3,ANM,1,0.00503496,0.00399662,0.117829,0.113833,0.07,-0.140864,0.0795018,0.0764212,149995,N,1.11678614710709
VTN.13125.45.3,GERAD,5e-05,0.000261783,0.000216427,0.0236107,0.0233943,0.07,-0.030868,0.033968,0.363489,83,N,0.439508727340254
