"Protein","T_all_with_apoe","R_all_with_apoe","P_all_with_apoe","T_all_no_apoe","R_all_no_apoe","P_all_no_apoe","T_Males_with_apoe","R_Males_with_apoe","P_Males_with_apoe","T_Males_no_apoe","R_Males_no_apoe","P_Males_no_apoe","T_Females_with_apoe","R_Females_with_apoe","P_Females_with_apoe","T_Females_no_apoe","R_Females_no_apoe","P_Females_no_apoe","T_70.And.Over_with_apoe","R_70.And.Over_with_apoe","P_70.And.Over_with_apoe","T_70.And.Over_no_apoe","R_70.And.Over_no_apoe","P_70.And.Over_no_apoe"
"IL10.2773.50.2",0.001,0.000158512427768506,0.320113750025712,0.001,0.000180355982848956,0.288903865955703,0.2,0.00057550359025326,0.058116661726849,0.2,0.000615105591053002,0.0501168863033681,5e-04,0.000228252952259856,0.232831120463962,5e-04,0.00021055801789675,0.251833115644032,0.001,0.000195153753572347,0.269946043770527,0.001,0.000214502381100041,0.247438344194556
"VTN.13125.45.3",0.2,0.00025714866160164,0.205374807360693,0.2,0.000236561241056352,0.224510021419787,0.2,0.000718623540517835,0.034216760306467,0.2,0.000687254475430404,0.0383827740180196,5e-08,8.29982592851556e-05,0.471894179486521,5e-08,8.29982592851556e-05,0.471894179486521,0.2,0.000190168642776111,0.276152668060103,0.2,0.000178927995660994,0.290821228492273
"IGFBP2.2570.72.5",1,0.000594400078027486,0.0541428753578642,1,0.000643869854639083,0.0450406966940953,5e-04,0.00164809499558414,0.00133547687261195,5e-04,0.00164809499558414,0.00133547687261195,0.1,0.000588595955175579,0.0553318518835251,0.1,0.0006028399913288,0.0524619913061588,1,0.000476553046201281,0.0846791095739061,1,0.000509267872236815,0.0746861595189972
"ANGPT2.13660.76.3",5e-04,0.000119892748910418,0.387230507266682,5e-04,0.000119892748910418,0.387230507266682,0.001,0.000209449998230086,0.253084851884065,0.001,0.000209449998230086,0.253084851884065,0.1,0.000307706070895419,0.165951730809401,0.1,0.000310914976229552,0.163760009129807,5e-05,0.000138888587466296,0.35203986511698,5e-05,0.000138888587466296,0.35203986511698
"APOB.2797.56.2",5e-08,0.0131973773746903,6.74940262075608e-20,5e-05,0.000584968045747356,0.056089058773666,5e-08,0.0114062006249598,2.22043324130747e-17,5e-05,0.000133572071016694,0.361425755919699,5e-08,0.010462681532559,4.68515240838378e-16,5e-05,0.000426635015550948,0.102822832055005,5e-08,0.0132876694141789,5.0378820629064e-20,5e-05,0.000131054613463372,0.365990527952675
"CCL26.9168.31.3",5e-05,0.000130302314129056,0.367370125741859,5e-05,0.000130302314129056,0.367370125741859,5e-08,0.000348613728405271,0.140327462415945,5e-08,0.000348613728405271,0.140327462415945,5e-05,0.000398706166096146,0.114795853534724,5e-05,0.000398706166096146,0.114795853534724,1,0.000217216125319284,0.244469139689273,5e-05,0.000213215097147398,0.248862218418414
"CRP.4337.49.2",5e-08,0.00510789922100954,1.53281376612844e-08,0.2,0.000420566095518963,0.105303052395953,5e-08,0.00584775691191786,1.39541115939325e-09,0.2,0.00016080121656191,0.316644353999966,5e-08,0.00214884508728363,0.000248041473965586,5e-04,0.000357740623319042,0.135239053091103,5e-08,0.00250927661140513,7.4827140818847e-05,0.01,0.00036164846524108,0.133123767393575
"CLU.4542.24.2",0.01,0.000263108937309634,0.200199840578198,0.01,0.000270577174870359,0.193930154120382,0.05,0.00124490362154244,0.0053072576832533,0.05,0.00126361358922684,0.00497473884605629,5e-05,0.000266089081297922,0.197669901061811,5e-05,0.000266089081297922,0.197669901061811,1,0.000228095733058511,0.23299212956583,1,0.000213431366183525,0.248622302067509
"CSF3.8952.65.3",0.5,0.000362969832610496,0.132416902888854,0.5,0.000332071706029912,0.150107817950882,5e-04,7.89120064676347e-05,0.483011961135065,5e-04,7.89120064676347e-05,0.483011961135065,1,0.00057554337921153,0.0581079765853023,1,0.00053709238441555,0.0671817227108397,0.05,0.000102081808003216,0.424964659732622,0.05,0.000108572148968369,0.410614473636335
"IL13.3072.4.2",0.1,0.000678919504562783,0.0395767262331428,0.1,0.000707790712890069,0.0355992138354653,5e-05,0.000362414478172993,0.132713477590623,5e-05,0.000362414478172993,0.132713477590623,0.01,0.000443475444576302,0.0962686815318151,0.01,0.000451274185947968,0.0933889410782054,5e-04,0.000205776464559617,0.257290004110009,0.1,0.000214175823619136,0.24779860600719
"CXCL8.3447.64.2",0.5,0.000263560162345019,0.199814350455109,0.5,0.000256831658109683,0.205654428382551,0.01,0.000521974517781645,0.0711533702601673,0.01,0.000514648164511692,0.0731678557016466,5e-04,0.00015995827028471,0.317916343753817,0.01,0.000164837786036365,0.310644632430484,0.5,0.000279425290385292,0.186796621866767,0.5,0.00027031649524059,0.19414509059873
"KITLG.9377.25.3",0.2,0.000190167902528294,0.276153602905981,0.2,0.000179253016685963,0.290383400184969,5e-05,0.000412550968158797,0.108679640537566,5e-05,0.000412550968158797,0.108679640537566,0.2,0.00039404988855819,0.11693729012976,0.2,0.000381094450374055,0.123131462548087,0.2,0.00022981865344407,0.231234981221896,0.2,0.000214641959999157,0.247284554665777
"MMP9.2579.17.5",0.001,0.000561650293198813,0.0612260612197307,0.001,0.000561650293198813,0.0612260612197307,0.05,0.000136558753250484,0.356111363314322,0.05,0.000142639428280424,0.345617255723579,5e-04,0.000307850807702235,0.165852154691845,5e-04,0.000307850807702235,0.165852154691845,5e-04,0.000384678491616707,0.121382310557079,5e-04,0.000384678491616707,0.121382310557079
"NPPB.3723.1.2",5e-04,0.000478133780533914,0.0841644814548998,5e-04,0.000575986856308214,0.0580112675459039,0.5,0.000502258539839379,0.0767151112825364,0.5,0.000511717817554842,0.0739906411690224,0.001,0.000608149910602052,0.0514328382750182,0.001,0.000746967591537641,0.0308583714336069,5e-04,0.000603312843420675,0.0523694672325041,5e-04,0.00067010409496247,0.0408819691555688
"PLG.3710.49.2",0.5,0.000155451548952864,0.324832083480047,0.5,0.000143848474544968,0.343580867627746,0.2,6.48417398987546e-05,0.524869457218439,0.2,6.75955375605534e-05,0.516196156865732,5e-08,0.000126520144499425,0.374416927558287,5e-08,0.000126520144499425,0.374416927558287,0.01,6.88263644101476e-05,0.512400468206162,0.01,6.47641877285184e-05,0.525117441294477
"RETN.3046.31.1",5e-08,0.000669170096619933,0.0410228829002872,5e-08,0.000669170096619933,0.0410228829002872,0.1,5.09308806290966e-05,0.573071528746636,0.1,5.09598477448028e-05,0.572962451215378,5e-08,0.000692009225919369,0.0377186375283451,5e-08,0.000692009225919369,0.0377186375283451,5e-08,0.000275760454056748,0.189713552289757,5e-08,0.000275760454056748,0.189713552289757
"TF.4162.54.2",0.5,0.000142604899125276,0.345675652396236,0.5,0.000146546955996164,0.33909385179399,0.5,0.000289085752627993,0.179353744435107,0.5,0.000299117655398905,0.171984856163471,5e-05,9.39663062463866e-05,0.443995356789964,5e-05,9.39663062463866e-05,0.443995356789964,0.001,5.96928802570294e-05,0.541803537720715,0.001,5.96928802570294e-05,0.541803537720715
"TNC.4155.3.2",1,0.000342718995542859,0.143727946816729,1,0.000379828592586747,0.123755913791628,5e-05,0.000188066352238004,0.278823736875507,5e-05,0.000188066352238004,0.278823736875507,1,0.000273599422882749,0.191458420002475,1,0.000281446999859718,0.185209821314822,0.2,0.000278402517103653,0.187605390610165,0.2,0.000287151724511978,0.180815904451038
"TNF.5936.53.3",5e-05,0.000247259001401859,0.214314238536246,5e-05,0.000247259001401859,0.214314238536246,0.01,0.000600512322356393,0.0529199794354895,0.01,0.000585966357684583,0.0558796045821601,5e-05,0.000169223075306091,0.304293161273018,5e-05,0.000169223075306091,0.304293161273018,0.5,0.000558795243891148,0.0618885997106777,0.5,0.000601489861922114,0.0527271273291757
"VCAM1.2967.8.1",0.1,0.000270779406144808,0.193763601225173,0.1,0.000265868032466736,0.197856263712905,0.01,0.000179265449556568,0.290366668842063,0.01,0.000179265449556568,0.290366668842063,0.1,0.000413758070077937,0.108163605421477,0.1,0.000407033253283252,0.111073146040935,0.1,0.000184958544557202,0.282832308740773,0.1,0.000174385665859843,0.297029286576098
"GC.6581.50.3",0.001,0.00110149468972662,0.00873905580405115,0.001,0.00110149468972662,0.00873905580405115,0.001,0.00156360352303766,0.00177929813103164,0.001,0.00156360352303766,0.00177929813103164,0.001,0.000143202755139896,0.344666423910353,0.001,0.000143202755139896,0.344666423910353,5e-04,0.00066674477164052,0.0413911815042677,5e-04,0.00066674477164052,0.0413911815042677
