Protein,Sample,Threshold,PRS.R2,PRS.R2.adj,Full.R2,Null.R2,Prevalence,Coefficient,Standard.Error,P,Num_SNP,Significant,P_MinusLog10
IL13.3072.4.2,ANM_Females,0.1,0.00576462,0.004756,0.160377,0.155621,0.07,0.171885,0.117234,0.142602,37117,N,0.845874383440165
IL13.3072.4.2,GERAD_Females,5e-05,0.00229297,0.00190118,0.0194767,0.0175755,0.07,-0.0837634,0.0439606,0.0567256,54,N,1.24622090178395
IL3.4717.55.2,ADNI_Females,0.001,0.0172203,0.0125756,0.0260409,0.0134653,0.07,-0.279583,0.102711,0.0064881,800,Y,2.18788246503711
IL3.4717.55.2,ANM_Females,0.001,0.00265239,0.00218563,0.157806,0.155621,0.07,-0.108748,0.109884,0.322336,809,N,0.491691187729232
IL3.4717.55.2,GERAD_Females,0.2,0.000425811,0.000352974,0.0179285,0.0175755,0.07,0.036132,0.0442955,0.414669,60899,N,0.382298430592499
KITLG.9377.25.3,ADNI_Females,1,0.00997735,0.00726921,0.0207345,0.0134653,0.07,-0.209917,0.10079,0.0372774,146815,Y,1.42855438615256
KITLG.9377.25.3,ANM_Females,0.2,0.0191594,0.015891,0.171512,0.155621,0.07,-0.295234,0.110481,0.0075345,61970,Y,2.12294556278477
KITLG.9377.25.3,GERAD_Females,0.001,0.00103214,0.000855651,0.0184311,0.0175755,0.07,-0.0564745,0.0438292,0.197567,764,N,0.704285594742133
MMP9.2579.17.5,ADNI_Females,0.001,0.022517,0.0164719,0.0299372,0.0134653,0.07,-0.319218,0.103579,0.00205689,792,Y,2.68678893323011
MMP9.2579.17.5,ANM_Females,0.1,0.00684642,0.00565093,0.161272,0.155621,0.07,0.180038,0.109606,0.100468,37004,N,0.99797224308345
MMP9.2579.17.5,GERAD_Females,5e-04,0.00157147,0.00130284,0.0188783,0.0175755,0.07,-0.069032,0.0438882,0.115741,425,N,0.936512769660343
NPPB.3723.1.2,ADNI_Females,0.001,0.00524375,0.00381462,0.0172799,0.0134653,0.07,0.153197,0.0999258,0.12525,783,N,0.902222265460717
NPPB.3723.1.2,ANM_Females,5e-05,0.00185182,0.00152546,0.157146,0.155621,0.07,0.0951631,0.107026,0.37392,47,N,0.427221304951848
NPPB.3723.1.2,GERAD_Females,0.001,0.00170531,0.00141383,0.0189893,0.0175755,0.07,0.0721422,0.0439494,0.100697,778,N,0.996983467905702
PLG.3710.49.2,ADNI_Females,0.2,0.00837375,0.00609772,0.019563,0.0134653,0.07,-0.190878,0.0991263,0.0541543,60965,N,1.26636705349611
PLG.3710.49.2,ANM_Females,0.01,0.00975748,0.00806292,0.163684,0.155621,0.07,0.208648,0.108526,0.0545355,5895,N,1.26332070075077
PLG.3710.49.2,GERAD_Females,5e-08,0.000610238,0.000505865,0.0180814,0.0175755,0.07,-0.0432187,0.0443495,0.329807,6,N,0.481740130895529
PPY.4588.1.2,ADNI_Females,5e-08,0.0155852,0.0113755,0.0248408,0.0134653,0.07,-0.261277,0.100534,0.00935293,1,Y,2.02905231602638
PPY.4588.1.2,ANM_Females,0.001,0.0124197,0.0102736,0.165894,0.155621,0.07,0.23043,0.110108,0.0363698,776,Y,1.43925908715357
PPY.4588.1.2,GERAD_Females,0.001,0.000737557,0.000611418,0.0181869,0.0175755,0.07,0.0476862,0.0438086,0.276369,774,N,0.558510672889673
RETN.3046.31.1,ADNI_Females,5e-08,0.00225655,0.00163998,0.0151053,0.0134653,0.07,-0.100312,0.0994287,0.313031,2,N,0.504412651391959
RETN.3046.31.1,ANM_Females,5e-04,0.0106941,0.00884016,0.164461,0.155621,0.07,-0.216143,0.108085,0.0455274,415,Y,1.34172715087553
RETN.3046.31.1,GERAD_Females,5e-08,0.00100908,0.000836531,0.018412,0.0175755,0.07,-0.0552579,0.0440706,0.209897,2,N,0.677993768624634
SERPING1.4479.14.2,ADNI_Females,5e-05,0.0127622,0.00930655,0.0227718,0.0134653,0.07,0.235457,0.0991626,0.0175747,59,Y,1.75511207964848
SERPING1.4479.14.2,ANM_Females,0.01,0.0139862,0.0115765,0.167197,0.155621,0.07,-0.259767,0.109693,0.0178778,5966,Y,1.74768592550908
SERPING1.4479.14.2,GERAD_Females,0.001,0.0007966,0.000660368,0.0182359,0.0175755,0.07,0.0495073,0.0438871,0.259295,846,N,0.586205857674712
