Protein,Sample,Threshold,PRS.R2,PRS.R2.adj,Full.R2,Null.R2,Prevalence,Coefficient,Standard.Error,P,Num_SNP,Significant,P_MinusLog10
IL13.3072.4.2,ANM_Females,0.1,0.00579242,0.004779,0.1604,0.155621,0.07,0.172179,0.117225,0.141887,37102,N,0.848057393738428
IL13.3072.4.2,GERAD_Females,5e-05,0.00229297,0.00190118,0.0194767,0.0175755,0.07,-0.0837634,0.0439606,0.0567256,54,N,1.24622090178395
IL3.4717.55.2,ADNI_Females,0.001,0.0172203,0.0125756,0.0260409,0.0134653,0.07,-0.279583,0.102711,0.0064881,800,Y,2.18788246503711
IL3.4717.55.2,ANM_Females,0.001,0.00265239,0.00218563,0.157806,0.155621,0.07,-0.108748,0.109884,0.322336,809,N,0.491691187729232
IL3.4717.55.2,GERAD_Females,0.2,0.000516999,0.000428569,0.0180041,0.0175755,0.07,0.0398782,0.044297,0.367989,60877,N,0.43416516314904
KITLG.9377.25.3,ADNI_Females,1,0.00999792,0.00728425,0.0207495,0.0134653,0.07,-0.210099,0.100786,0.0371054,146759,Y,1.43056288231098
KITLG.9377.25.3,ANM_Females,0.2,0.0190131,0.0157687,0.171389,0.155621,0.07,-0.294146,0.110487,0.00776159,61943,Y,2.11004930226084
KITLG.9377.25.3,GERAD_Females,0.001,0.00103214,0.000855651,0.0184311,0.0175755,0.07,-0.0564745,0.0438292,0.197567,764,N,0.704285594742133
MMP9.2579.17.5,ADNI_Females,0.001,0.022517,0.0164719,0.0299372,0.0134653,0.07,-0.319218,0.103579,0.00205689,792,Y,2.68678893323011
MMP9.2579.17.5,ANM_Females,0.1,0.00675607,0.00557616,0.161197,0.155621,0.07,0.178914,0.109578,0.102521,36992,N,0.989187166315692
MMP9.2579.17.5,GERAD_Females,5e-04,0.00157147,0.00130284,0.0188783,0.0175755,0.07,-0.069032,0.0438882,0.115741,425,N,0.936512769660343
NPPB.3723.1.2,ADNI_Females,0.001,0.00536542,0.00390329,0.0173686,0.0134653,0.07,0.154935,0.0999799,0.121222,781,N,0.916418554991918
NPPB.3723.1.2,ANM_Females,5e-05,0.00185182,0.00152546,0.157146,0.155621,0.07,0.0951631,0.107026,0.37392,47,N,0.427221304951848
NPPB.3723.1.2,GERAD_Females,0.001,0.00213751,0.00177226,0.0193477,0.0175755,0.07,0.0807968,0.0439761,0.0661673,776,N,1.17935658666553
PLG.3710.49.2,ADNI_Females,0.2,0.00817767,0.00595456,0.0194198,0.0134653,0.07,-0.188695,0.0990895,0.0568723,60938,N,1.24509920788094
PLG.3710.49.2,ANM_Females,0.01,0.00987181,0.00815777,0.163778,0.155621,0.07,0.209634,0.108557,0.0534718,5889,N,1.27187519617066
PLG.3710.49.2,GERAD_Females,5e-08,0.000610238,0.000505865,0.0180814,0.0175755,0.07,-0.0432187,0.0443495,0.329807,6,N,0.481740130895529
PPY.4588.1.2,ADNI_Females,5e-08,0.0155852,0.0113755,0.0248408,0.0134653,0.07,-0.261277,0.100534,0.00935293,1,Y,2.02905231602638
PPY.4588.1.2,ANM_Females,0.001,0.0124197,0.0102736,0.165894,0.155621,0.07,0.23043,0.110108,0.0363698,776,Y,1.43925908715357
PPY.4588.1.2,GERAD_Females,0.001,0.000737557,0.000611418,0.0181869,0.0175755,0.07,0.0476862,0.0438086,0.276369,774,N,0.558510672889673
RETN.3046.31.1,ADNI_Females,5e-08,0.00225655,0.00163998,0.0151053,0.0134653,0.07,-0.100312,0.0994287,0.313031,2,N,0.504412651391959
RETN.3046.31.1,ANM_Females,5e-04,0.0104542,0.00864101,0.164262,0.155621,0.07,-0.213717,0.10811,0.0480582,414,Y,1.31823249954766
RETN.3046.31.1,GERAD_Females,5e-08,0.00100908,0.000836531,0.018412,0.0175755,0.07,-0.0552579,0.0440706,0.209897,2,N,0.677993768624634
SERPING1.4479.14.2,ADNI_Females,5e-05,0.0127622,0.00930655,0.0227718,0.0134653,0.07,0.235457,0.0991626,0.0175747,59,Y,1.75511207964848
SERPING1.4479.14.2,ANM_Females,0.01,0.0139862,0.0115765,0.167197,0.155621,0.07,-0.259767,0.109693,0.0178778,5966,Y,1.74768592550908
SERPING1.4479.14.2,GERAD_Females,0.001,0.0007966,0.000660368,0.0182359,0.0175755,0.07,0.0495073,0.0438871,0.259295,846,N,0.586205857674712
TF.4162.54.2,ADNI_Females,5e-05,0.00129107,0.000938008,0.0144033,0.0134653,0.07,-0.0756876,0.0988898,0.444049,57,N,0.352569103634385
TF.4162.54.2,ANM_Females,0.001,0.00208498,0.00171769,0.157338,0.155621,0.07,0.0951157,0.108153,0.379154,766,N,0.42118435793203
TF.4162.54.2,GERAD_Females,5e-05,0.00130076,0.00107838,0.0186539,0.0175755,0.07,0.0631485,0.0436684,0.148152,57,N,0.829292481321284
TNC.4155.3.2,ADNI_Females,0.05,0.00287365,0.00208887,0.0155541,0.0134653,0.07,0.111256,0.0983921,0.258164,21165,N,0.58810431858157
TNC.4155.3.2,ANM_Females,0.05,0.014986,0.012409,0.16803,0.155621,0.07,-0.258659,0.110952,0.0197394,21325,Y,1.70466605230718
TNC.4155.3.2,GERAD_Females,0.01,0.00110994,0.000920154,0.0184956,0.0175755,0.07,-0.0586813,0.0438313,0.180636,5775,N,0.74319569232102
TNF.5936.53.3,ADNI_Females,5e-05,0.00381031,0.00277057,0.0162358,0.0134653,0.07,-0.129123,0.097891,0.187153,37,N,0.72780320689846
TNF.5936.53.3,ANM_Females,0.05,0.00480793,0.00396521,0.159586,0.155621,0.07,0.142718,0.107957,0.18617,21164,N,0.730090301250239
TNF.5936.53.3,GERAD_Females,0.2,0.00152881,0.00126747,0.018843,0.0175755,0.07,-0.0690977,0.044246,0.118366,60682,N,0.926773028465385
VCAM1.2967.8.1,ADNI_Females,0.2,0.020645,0.0150933,0.0285586,0.0134653,0.07,0.301669,0.10261,0.00328255,60939,Y,2.4837886499883
VCAM1.2967.8.1,ANM_Females,0.5,0.00965472,0.00797769,0.163598,0.155621,0.07,0.203456,0.108514,0.0608016,111271,N,1.21608499207549
VCAM1.2967.8.1,GERAD_Females,5e-05,0.00209543,0.00173736,0.0193128,0.0175755,0.07,0.0801016,0.0439542,0.0683962,60,N,1.16496802642133
VTN.13125.45.3,ADNI_Females,0.05,0.000794968,0.000577481,0.0140428,0.0134653,0.07,-0.0605002,0.0989501,0.540921,21317,N,0.266866157757265
VTN.13125.45.3,ANM_Females,5e-05,0.00769915,0.0063569,0.161978,0.155621,0.07,0.186007,0.106775,0.0814988,84,N,1.08884878582708
VTN.13125.45.3,GERAD_Females,1,0.000906082,0.000751136,0.0183266,0.0175755,0.07,0.0532954,0.0438301,0.224003,145948,N,0.649746165260832
